R28045	P15259	R27853
R69288	P28	L239806
R62765	P33132	L179257
R60962	P33139	L157628
R57888	P33037	L127557
R60380	P33135	L150640
R64872	P33143	L204195
R65582	P33145	L212717
R56477	P33008	L115511
R57337	P31023	L123463
R63532	P33132	L188461
R33630	P32	R33582
R53306	P31	R53309
R54894	P25059	L108368
R32691	P30	R11
R31716	P15451	L63776
R32309	P15510	R1001
R25605	P30	R11
R60281	P33129	L149446
R61600	P33131	L165276
R23338	P27	L45210
R61984	P33136	L169889
R32004	P15492	L65233
R44951	P27	L84214
R54587	P15068	L105546
R66353	P33142	L221966
R44428	P23116	L82341
R28866	P31	R28867
R64403	P33150	L198595
R69748	P27	L241062
R44726	P27	L83663
R51514	P4006	R51515
R27231	P15190	L54221
R62901	P33137	L180894
R4372	P27	L272
R46156	P31	R46157
R63091	P33136	L183173
R54180	P31	R54181
R65465	P2005	R63783
R60455	P33134	L151539
R56622	P31	R56623
R69839	P20142	L241412
R66367	P33145	L222137
R63422	P33130	L187139
R60663	P33129	L154030
R54249	P29	L102301
R63836	P33151	L191792
R25977	P31	R25978
R45044	P20098	L85069
R54315	P31023	L102919
R6909	P5105	L5592
R25408	P27	L47483
R64279	P33150	L197107
R26225	P15142	R26148
R60600	P33135	L153280
R62070	P33129	L170914
R54345	P15068	L103216
R62535	P33139	L176504
R33809	P15607	R33801
R63229	P33137	L184830
R58813	P33043	L135501
R33781	P27	L70789
R61375	P33135	L162580
R61884	P33130	L168683
R67525	P33146	L236034
R28912	P27	L58470
R57611	P31024	L124515
R62188	P33131	L172332
R28099	compareContribution	R28025
R63010	P33129	L182194
R60433	P33137	L151278
R33731	P32	R33634
R44873	P30	R57
R62668	P33132	L178093
R65727	P2005	R63783
R59661	P33046	L143984
R44856	P27	L83990
R63899	P2005	R63783
R64422	P33148	L198821
R66563	P33146	L224490
R27418	P32	R27404
R62232	P33134	L172863
R57653	P32	R57587
R58824	P33046	L135614
R64689	P33145	L202022
R64045	P33146	L194295
R28071	P15259	R27838
R65505	P33144	L211792
R59352	P33045	L140893
R53276	P27	L98266
R67046	P33143	L230283
R62904	P33138	L180931
R34239	P15238	L71897
R54465	P30001	L104362
R32831	P15519	L67530
R61388	P33132	L162733
R64296	P33142	L197303
R64091	P33149	L194850
R52065	P30001	L95519
R70527	P30	R11
R65082	P33151	L206723
R59497	P33045	L142343
R64941	P33152	L205032
R65706	P33144	L214204
R49341	TemplateComponentOccurrenceMax	L90525
R63852	P33145	L191978
R59429	P33046	L141664
R60982	P33136	L157865
R25264	P27	L46938
R44428	P23114	L82346
R26288	P31	R26289
R69668	P34077	L240862
R32672	P27	L66845
R65070	P33146	L206574
R33455	P27	L69785
R62256	P33137	L173154
R30932	P15388	R30864
R44581	P26	L83255
R60709	P33140	L154593
R59596	P33041	L143329
R62866	P33134	L180471
R68606	P31	R68608
R67240	P33145	L232613
R60044	P33105	L147102
R67724	P31	R67727
R27035	P11	R27000
R62541	P33129	L176566
R53226	P27	L97858
R60332	P33132	L150061
R61247	P33137	L161046
R61017	P33136	L158285
R31925	P32	R31811
R53345	P27	L98704
R57140	P31024	L121613
R26509	P32	R26378
R51254	P18068	R51247
R61597	P33140	L165249
R64230	P33146	L196515
R64370	P33142	L198191
R67271	P33152	L232992
R64431	P33147	L198928
R63128	P33140	L183621
R32914	url	L68418
R66691	P33148	L226028
R60221	P33129	L148726
R60156	P33114	L148219
R44560	P31	R44562
R58302	P33043	L130391
R28320	P27	L57047
R46503	P25062	L87194
R54946	HAS_EVALUATION	L108408
R69198	TemplateComponent	R70428
R54480	P30004	L104510
R53079	HAS_ORCID	L97079
R68626	P26	L238735
R27461	compareContribution	R27442
R54323	P30001	L103004
R34240	P26	L71898
R65872	P33149	L216201
R60834	P33132	L156085
R56657	P33011	L117146
R34099	compareContribution	R33979
R57204	P33014	L122214
R51388	P18063	R51389
R59696	P33042	L144330
R63398	P33135	L186856
R34428	P27	L72482
R63391	P33129	L186766
R54617	P32118	L105833
R31940	P4012	L64836
R23301	P7111	L45046
R65777	P33152	L215064
R36094	P15191	L74350
R64031	P33146	L194127
R30893	P15072	L62144
R38722	P17	R38732
R56361	P30	R50
R34653	P15678	L73166
R49115	P27	R48286
R66085	P2005	R63783
R30333	P15344	R30316
R69483	P27	L240137
R6796	P5071	L5321
R63007	P33129	L182158
R26602	P31	R26667
R34914	HAS_APPROACH	R34915
R59293	P33046	L140304
R54390	P27030	L103646
R57347	P30004	L123562
R49291	HAS_VENUE	R49293
R27041	P29	L53849
R62460	P33140	L175605
R26093	P27	L51461
R62397	P33139	L174848
R69671	P34086	R69554
R60954	P2005	R60165
R66269	P33147	L220963
R29360	P15328	R29228
R9311	P7167	R9304
R61473	P33135	L163756
R61937	P33133	L169322
R26761	P15170	R26732
R59969	P33100	L146509
R58454	P33047	L131915
R8860	P4015	R8968
R25520	P15056	L47986
R34385	P15648	R34365
R67076	P33150	L230650
R66186	P33147	L219967
R63096	P33137	L183234
R64568	P33147	L200572
R59034	P33045	L137713
R59498	P2005	R58159
R5138	P27	R57510
R9536	P27	L84178
R29520	P15343	R29513
R65281	P33152	L209112
R66300	P33150	L221338
R64460	P33145	L199274
R54151	P32001	L101356
R33521	P28	L69833
R60676	P33139	L154196
R54867	url	L108306
R50114	contains	R50108
R26486	P31	R26509
R68244	P29	L238460
R25332	P15042	L47278
R33022	P30	R11
R61451	P33132	L163489
R60747	P2005	R60165
R65442	P33152	L211044
R50133	contains	R50125
R62265	P33133	L173258
R31704	P15448	L63593
R32721	P15072	L67065
R56364	P30004	L114598
R31990	P15484	L65129
R32913	P15549	L68412
R62808	P33137	L179778
R63716	P33140	L190677
R64466	P33147	L199348
R46608	P25061	L87691
R58404	P33045	L131413
R63705	P33133	L190538
R63703	P33134	L190515
R60129	P33124	L147824
R26860	P9008	R25666
R62815	P33130	L179855
R54147	P32068	L101316
R32993	P32	R50405
R27567	P15242	L55449
R54884	P31	R54909
R26906	P31	R26907
R27554	P32	R27485
R39020	P31	R39061
R65603	P33149	L212973
R65316	P33151	L209531
R30763	P26	L61757
R27752	P32	R27729
R54410	P27	L103837
R25008	P9059	R12265
R60024	P33102	L146859
R65004	P33146	L205782
R57837	P31024	L126979
R54608	P15068	L105751
R56726	P28	L117782
R66369	P33151	L222167
R32494	P28	L66206
R69474	P27	L240101
R65874	P33144	L216220
R65549	P33151	L212327
R57198	P27030	R49274
R60443	P33137	L151398
R34265	P15237	R34259
R25927	P28	L50301
R58420	P33043	L131571
R58720	P33046	L134574
R67604	P33145	L236981
R31849	P29	L64467
R62432	P33140	L175269
R54445	P31	R54446
R33739	P15601	L70576
R66317	P33148	L221540
R54139	P32064	L101251
R46231	P31	R46232
R32882	P15548	L67861
R34986	HAS_METHOD	R35008
R58505	P33050	L132428
R57175	P30	R50
R60790	P33139	L155564
R67559	P33142	L236438
R61542	P33133	L164582
R54037	P32002	L100256
R58821	P33046	L135584
R68612	P30	R278
R4796	P27	L354
R66286	P33152	L221172
R61149	P33138	L159871
R61518	P33131	L164292
R61695	P2005	R60165
R65479	P33145	L211481
R63904	P33146	L192603
R58271	P33047	L130085
R56868	P33010	L119084
R38481	compareContribution	R38371
R59537	P33042	L142740
R70367	DATA	R70369
R60734	P33136	L154889
R64087	P33152	L194805
R70685	HAS_APPROACH	R70689
R66687	P33146	L225978
R44380	HAS_METHOD	R11014
R65869	P33150	L216166
R60514	P33136	L152249
R65668	P2005	R63783
R26736	P15166	L53123
R63718	P33137	L190698
R58630	P33043	L133671
R55319	HAS_ORCID	L111120
R66867	P33145	L228137
R29437	P27	L59739
R63636	P33139	L189716
R64379	P33145	L198302
R64316	P33143	L197544
R61124	P33129	L159562
R61011	P33134	L158211
R28999	P15317	L58715
R60719	P33131	L154704
R66470	P33150	L223378
R28802	P15293	R28617
R57662	P27	L125053
R62266	P33130	L173267
R64649	P33148	L201545
R64387	P33146	L198399
R68369	P34016	R68368
R57621	P30002	L124609
R26052	P32	R26018
R66708	P33152	L226236
R65200	P2005	R63783
R52011	P30000	L95084
R60711	P33133	L154610
R65896	P33143	L216483
R64833	P33152	L203736
R59066	P33046	L138034
R32189	compareContribution	R32174
R64730	P33144	L202513
R65923	P33148	L216812
R62457	P33134	L175563
R57374	P30002	L123824
R67432	P33145	L234917
R65950	P33143	L217131
R25857	compareContribution	R25798
R63450	P33137	L187482
R66307	P33143	L221415
R69464	P26	L240053
R66020	P33149	L217977
R28867	P15293	R28617
R62992	P33139	L181988
R32928	P31	R32929
R54250	P32119	L102305
R63257	P33135	L185164
R66179	P33145	L219881
R60789	P33129	L155542
R25745	P15022	L48990
R61262	P33132	L161221
R58876	P33050	L136138
R67306	P33141	L233401
R60577	P33138	L153007
R61879	P33132	L168625
R65172	P33150	L207802
R49601	TemplateComponentOccurrenceMin	L90941
R31912	P31	R31913
R57398	P33006	L124047
R66844	P33145	L227861
R49414	HAS_VALUE	L90626
R62164	P33133	L172046
R34076	P32	R33975
R62891	P33132	L180769
R67879	P7004	L237525
R62161	P33133	L172010
R70031	P29008	R70035
R60483	P33140	L151881
R62371	P33129	L174526
R32886	P15531	L67938
R60712	P33131	L154620
R31198	P27	L62541
R63992	P33150	L193663
R59595	P33043	L143321
R67874	HAS_ORCID	L237523
R34678	P27	L73300
R56980	P30002	L120087
R63926	P33152	L192873
R69467	P31	R69468
R25638	P15067	L48432
R65299	P33144	L209320
R57312	P31023	L123229
R38219	P18035	R38211
R64457	P33151	L199244
R66922	P33149	L228801
R54860	P31005	L108250
R53317	P15068	L98532
R60905	P33139	L156944
R61609	P33130	L165383
R64258	P33146	L196851
R8335	P30	R136
R62511	P33137	L176214
R68200	P24013	L238387
R49596	P27054	L90934
R63340	P33130	L186155
R29432	P15343	R29427
R64843	P33148	L203852
R63726	P33136	L190793
R64051	P33150	L194371
R69656	P34085	R69551
R66792	P33149	L227241
R54791	P30	R50
R59345	P2005	R58159
R54543	P29	L105114
R54694	P29	L106611
R27877	P15259	R27873
R6382	P5021	R6204
R67442	P33150	L235042
R33827	P27	L70897
R56552	P31023	L116148
R44875	METHOD	L84050
R31669	compareContribution	R31603
R68734	HAS_RESULTS	R50438
R62777	P33130	L179399
R67331	P33145	L233705
R53264	P31002	L98190
R65179	P33149	L207885
R59060	P33049	L137977
R6312	P5014	L4400
R58724	P33049	L134617
R32660	P31	R32661
R67146	P33148	L231488
R45102	P30	R122
R60373	P33136	L150557
R59444	P33047	L141815
R32610	P29	L66584
R26896	P28	L53532
R63503	P33132	L188113
R48257	P27	L89338
R58002	compareContribution	R57713
R58303	P33043	L130401
R62091	P33132	L171169
R64724	P33148	L202445
R25709	P15072	L48768
R63535	P33129	L188494
R62231	P33131	L172848
R62041	P33140	L170577
R65189	P33146	L208002
R62109	P33137	L171390
R26901	P32	R26777
R64664	P33146	L201723
R54320	P29	L102976
R56655	P30002	L117131
R65607	P33151	L213023
R53184	P15068	L97453
R31414	P15421	R31342
R61036	P33138	L158515
R62365	P33136	L174461
R62245	P33138	L173023
R50168	hasContent	L92248
R57370	P31023	L123784
R4308	P3	R10
R69794	P4036	R69795
R56919	P28	L119543
R64070	P33143	L194592
R60162	P33122	L148317
R63297	P33138	L185647
R67160	P33149	L231657
R30209	P15239	R29521
R65945	P33147	L217075
R63841	P33142	L191843
R63175	P33130	L184175
R66661	P33152	L225672
R12058	P29	L12036
R28170	P15269	R28168
R59138	P33043	L138751
R65079	P33144	L206680
R62297	P33130	L173639
R26649	P28	L52890
R63856	P33149	L192030
R44137	P31	R44139
R27871	P32	R27842
R70103	P29009	R51248
R66630	P33152	L225300
R34395	P15641	R34317
R63448	P33132	L187453
R26325	P15146	R26149
R38956	METHOD	R38918
R66132	P33142	L219314
R65728	P33143	L214467
R31186	P15401	L62506
R65299	P33151	L209327
R54704	P27	L106712
R61128	P33132	L159613
R30333	P15340	L60434
R57944	P30001	L128186
R57266	P31023	L122818
R62682	P33133	L178262
R60730	P33137	L154842
R67078	P33143	L230667
R31394	P15422	R31392
R52104	P31	R52105
R25180	P31	R25181
R67599	P33150	L236926
R25617	P27	L48367
R26077	P31	R26078
R68538	compareContribution	R68341
R61813	P33140	L167841
R64073	P2005	R63783
R61466	P33137	L163674
R61393	P33134	L162795
R63396	P33133	L186830
R57261	P29	L122778
R31365	P15421	R31362
R63857	P33148	L192041
R54397	P31024	L103717
R60713	P33134	L154635
R55068	P27	L109542
R33895	P15610	R33891
R61306	P33135	L161752
R31742	P15458	L64028
R59389	P33044	L141262
R63132	P33140	L183669
R66878	P33145	L228269
R66749	P33141	L226717
R61546	P33132	L164629
R62485	P33131	L175896
R60500	P33134	L152079
R58609	P33043	L133461
R56775	P33011	L118226
R28291	P15267	R28152
R69189	P34050	R69082
R29574	P15340	L59840
R56147	P31024	L112790
R66502	P33142	L223754
R67222	P2005	R63783
R43028	P22031	L81457
R31404	P15424	L62932
R63465	P33135	L187660
R60561	P33134	L152811
R30476	compareContribution	R30356
R62426	P33135	L175192
R60519	P33139	L152312
R65704	P2005	R63783
R69232	TemplateComponentOccurrenceMax	L239445
R48178	HAS_VENUE	R1012
R54727	P32	R54245
R54855	HAS_VENUE	R1012
R46113	P30	R122
R61922	P33132	L169141
R64988	P33147	L205591
R65545	P33152	L212280
R4960	P4018	R4964
R61389	P33139	L162752
R58002	compareContribution	R57701
R61641	P33132	L165769
R36089	P29	L74307
R59688	P33049	L144257
R56936	P9040	L119690
R57848	P33039	L127099
R46207	P26	L86637
R66429	P33147	L222883
R64119	P33142	L195179
R60751	P2005	R60165
R61722	P33139	L166748
R34650	P15675	L73141
R48373	P32	R48245
R6883	P5070	L5531
R64045	P33148	L194297
R61652	P33131	L165900
R6130	P5004	R6013
R59807	P33074	L145064
R65777	P33150	L215062
R56943	HAS_VENUE	R1012
R61880	P33138	L168643
R64542	P33141	L200254
R61885	P33140	L168705
R48392	compareContribution	R48277
R25570	P15062	L48232
R63216	P33136	L184673
R67603	P33144	L236968
R23328	P26032	L45182
R57781	P33037	L126364
R64595	P33147	L200896
R64695	P2005	R63783
R65115	P33149	L207117
R32753	P15522	L67209
R65953	P33142	L217166
R65803	P33148	L215372
R30643	P15370	R30614
R59958	P33093	L146370
R66449	P33152	L223128
R66010	P33151	L217859
R58612	P33050	L133498
R59827	P33072	L145302
R66272	P33144	L220996
R68036	P27	L238107
R63769	P33137	L191310
R61226	P33131	L160788
R58507	P33041	L132439
R34693	P27	L73334
R62897	P33136	L180845
R48391	P15700	L89737
R67425	P33143	L234831
R60947	P33133	L157442
R31476	P29	L63032
R60947	P33140	L157449
R63611	P33139	L189416
R58279	P33043	L130161
R32752	P27	L67202
R46587	P25062	L87590
R53370	P27030	R49274
R62972	P33129	L181738
R29810	P15344	R29800
R54806	P27	L107710
R54273	P31005	L102537
R57622	P9040	L124616
R26055	P30	R11
R64445	P33145	L199094
R25951	P27	L50440
R64225	P2005	R63783
R6892	P1	R6894
R26102	P15126	L51508
R33658	P15605	L70147
R67003	P33141	L229765
R53348	P30001	L98720
R26544	P31	R26545
R30536	compareContribution	R30535
R6401	P29	L4607
R26658	P15166	L52909
R46523	P25063	L87297
R64522	P33142	L200015
R33294	P27	L69693
R64117	P2005	R63783
R63451	P33131	L187488
R34743	P15688	L73532
R38328	P18058	R38273
R26670	P15157	L52945
R64174	P33151	L195848
R62211	P33139	L172616
R69712	HAS_VENUE	R69525
R53346	P9040	L98708
R56554	P33008	L116162
R54652	P29	L106195
R61205	P33137	L160542
R60706	P33129	L154546
R61624	P33139	L165572
R25707	P5030	R25666
R34639	P27	L73027
R58533	P33042	L132700
R64480	P33148	L199517
R57824	P32	R57587
R27620	compareContribution	R27506
R34824	P29	L73772
R29976	P29	L60134
R62249	P33133	L173066
R62009	P33130	L170183
R32391	P27	L65969
R58210	P33049	L129477
R65780	P33151	L215099
R54538	P31023	L105065
R44436	P28	L82415
R30276	P30	R11
R57657	P30001	L124999
R48231	TemplateComponentOrder	L89271
R59604	P33044	L143412
R60634	P33130	L153683
R64344	P2005	R63783
R33777	P32	R33634
R63532	P33131	L188460
R54149	P32002	L101336
R60609	P33140	L153393
R53406	P30001	L99085
R26223	P15143	R26149
R59801	P33069	L144987
R25675	P32	R25667
R27815	P31	R27816
R63124	P33129	L183562
R52071	P31	R52072
R38940	P32	R38921
R56850	P9040	L118908
R53261	P31	R53262
R58998	P33045	L137353
R64782	P33145	L203138
R65687	P33141	L213973
R60803	P33135	L155716
R65470	P2005	R63783
R56391	P15068	L114822
R44157	P27	R44160
R30546	P15360	L60957
R59111	P2005	R58159
R68594	P18023	R68629
R70103	P18057	R51226
R31094	P15072	L62281
R64498	P33146	L199731
R64056	P33145	L194426
R60630	P33134	L153639
R38876	P25072	L88090
R6917	P5102	L5569
R27431	P27	L55061
R63429	P33135	L187228
R70414	P7099	R70416
R61972	P33131	L169740
R26411	P27	L52375
R54409	P15068	L103834
R26471	P27	L52563
R67569	P33149	L236565
R56352	P27030	L114495
R69741	P27	L241034
R8716	P26018	R8760
R54876	TemplateComponentOccurrenceMin	L108328
R36069	P16016	L74164
R52110	P30001	L95887
R34366	P27	L72254
R58946	P33049	L136837
R61185	P33137	L160302
R62891	P33134	L180771
R61463	P33138	L163639
R34893	HAS_IMPLEMENTATION	R34900
R58480	P33041	L132169
R63463	P33134	L187635
R32488	P15513	L66186
R43025	P22011	L81385
R34018	P27	L71241
R56316	P33009	L114201
R54812	P31	R54814
R67176	P33150	L231850
R66804	P33151	L227387
R32715	P15517	R32570
R67074	P33147	L230623
R67307	P33144	L233416
R63352	P33130	L186299
R28564	P15283	R28524
R63516	P33138	L188275
R58235	P33045	L129723
R64893	P33151	L204455
R57001	P33013	L120295
R59549	P33042	L142860
R4753	P27	L8387
R31692	P15303	L63414
R60066	P33105	L147366
R54511	P31005	L104806
R29197	P15072	L59266
R58962	P33042	L136990
R60629	P33140	L153633
R61094	P33130	L159203
R28556	P30	R11
R25557	P26	L240306
R64824	P2005	R63783
R27333	P27	L54585
R58135	P26	L129124
R64766	P33141	L202942
R61394	P33136	L162809
R65938	P33149	L216993
R66649	P33152	L225528
R33205	P30	R11
R62250	P33135	L173080
R28183	P30	R11
R67383	P33150	L234334
R61379	P33131	L162624
R51346	P18060	R51262
R54312	P27	L102888
R54029	P9040	L100170
R26943	P30	R11
R26953	P15072	L53655
R70567	P15393	L242547
R59170	P33044	L139072
R63870	P33148	L192197
R57067	P30	R50
R7003	HAS_METHOD	R7004
R32975	P15586	L68950
R65025	P33143	L206031
R57906	P30001	L127753
R53250	P27030	L98084
R63439	P33135	L187348
R67489	P33145	L235601
R56971	P30001	L120000
R67258	P33149	L232833
R44180	HAS_VALUE	L82222
R60943	P33133	L157394
R30268	P32	R29367
R44502	P23122	L82851
R63679	P33138	L190231
R28132	P27	L56675
R52087	P29012	L95699
R59669	P33042	L144060
R63581	P33135	L189052
R57771	P33037	L126261
R69874	P18048	R69875
R65409	P33142	L210638
R62009	P33135	L170188
R56840	P15068	L118828
R25825	P15088	L49597
R60905	P2005	R60165
R56248	P33009	L113645
R32651	P27	L66748
R54512	P32117	L104812
R32871	compareContribution	R32763
R68540	P31	R68558
R56283	P27	L113940
R61328	P33137	L162018
R58559	P33041	L132959
R66895	P33143	L228471
R57161	P9040	L121801
R63182	P33139	L184268
R66034	P33149	L218145
R33585	P27	L69881
R64216	P2005	R63783
R64120	P33150	L195199
R61941	P33134	L169371
R64445	P2005	R63783
R25645	P28	L48475
R62855	P33129	L180334
R60553	P33140	L152721
R59891	P33084	L145788
R62402	P33139	L174908
R65196	P33148	L208088
R57028	P31	R57029
R31166	P15072	L62434
R30759	P28	L61738
R34873	HAS_METHOD	R34876
R64971	P33144	L205384
R59545	P33046	L142824
R343	P36	R344
R61334	P33135	L162088
R64447	P33148	L199121
R62131	P33137	L171654
R53122	HAS_METHOD	R51092
R33840	P4017	L70931
R54738	P27	L107055
R44637	P31	R44638
R25323	P30	R11
R67077	P33142	L230654
R58862	P33043	L135991
R46227	P31	R46228
R54511	P15068	L104808
R66963	P33142	L229286
R65089	P2005	R63783
R58043	P27	L128935
R66447	P33145	L223097
R32888	P15545	L67968
R46161	P25011	L86517
R64134	P33151	L195368
R57759	P28	L126139
R31214	compareContribution	R31213
R59579	P33049	L143167
R60460	P33137	L151602
R69745	P32	R69743
R31876	P32	R31811
R54642	P30	R50
R26384	P15153	L52259
R63287	P33135	L185524
R59185	P33043	L139221
R64020	P33144	L193993
R59430	P33049	L141677
R59418	P33042	L141550
R56473	P27030	L115480
R59511	P33050	L142488
R6186	P33	R6003
R54371	P30002	L103455
R70123	HAS_ORCID	L241791
R57828	P27030	R49276
R66875	P33147	L228235
R65143	P33150	L207454
R59072	P33041	L138089
R65888	P33146	L216390
R55029	P27030	R49278
R27995	P27	L56355
R58728	P33050	L134658
R61365	P33135	L162460
R60134	P33116	L147891
R57695	P31024	L125439
R28695	HAS_METHOD	R28728
R50397	P30	R38
R49029	TemplateComponentOccurrenceMax	L90041
R65053	P33146	L206370
R26472	P15154	R26470
R34397	P27	L72374
R70338	P15702	R70340
R38468	HAS_ORCID	L76457
R66294	P33148	L221264
R54771	P30004	L107371
R28555	P15280	L57575
R59454	P33047	L141915
R62150	P33135	L171880
R25529	compareContribution	R25506
R67672	HAS_RESULTS	R67698
R62275	P33134	L173379
R65200	P33141	L208129
R63426	P33131	L187188
R57277	P27	L122917
R62095	P33129	L171214
R61109	P2005	R60165
R64955	P33151	L205199
R28622	P15293	R28617
R43021	P22006	L81304
R62472	P33134	L175743
R51079	P27	L94104
R5166	P29	R5170
R56972	P29	L120009
R64858	P33145	L204029
R60408	P33131	L150972
R28613	P15284	L58092
R60230	P33134	L148839
R66842	P33143	L227835
R32121	P15502	L65558
R54042	P27	L100311
R31850	P15469	L64471
R32428	P15511	R32425
R52002	P30002	L95007
R25132	P32	R25117
R67516	P2005	R63783
R56634	P29	L116933
R62443	P33132	L175393
R60215	P33129	L148654
R61564	P33138	L164851
R43020	P27	L81252
R27456	P15126	L55158
R62578	P33135	L177016
R67340	P33147	L233815
R28852	P15291	R28615
R34404	P15642	R30827
R64932	P33145	L204917
R65038	P33146	L206190
R58896	P33048	L136336
R30056	P15343	R29776
R61024	P33138	L158371
R57385	P31024	L123925
R66310	P33144	L221452
R58772	P33050	L135098
R68459	P34014	R67807
R60659	P33133	L153986
R4831	HAS_METHOD	R4832
R67871	P27	R67873
R61358	P33138	L162379
R63410	P33133	L186998
R53183	P29	L97451
R31853	P31	R31854
R64412	P33142	L198695
R61726	P33130	L166787
R61855	P33136	L168341
R64083	P33151	L194756
R67290	P33144	L233212
R55089	P27030	L109741
R29761	P27	L59960
R62994	P33140	L182013
R56389	P30004	L114805
R33987	P26	L241382
